name,year,mean_trash,population,mean_trash_std_ton,mean_trash_std_kg,cumsum,cumsum17
Rheinland-Pfalz,2015,4410695,4032193,1.09387001068649,1093.87001068649,9656.64417239873,11935.8483003694
Rheinland-Pfalz,2016,4688055,4059428,1.15485605361149,1154.85605361149,10811.5002260102,11935.8483003694
Rheinland-Pfalz,2017,4575946,4069866,1.1243480743592,1124.3480743592,11935.8483003694,11935.8483003694
Saarland,2006,2023666,1046775,1.93323875713501,1933.23875713501,1933.23875713501,23197.191628891
Saarland,2007,1966565,1039967,1.89098788711565,1890.98788711565,3824.22664425066,23197.191628891
Saarland,2008,2010624,1033638,1.94519164349608,1945.19164349608,5769.41828774674,23197.191628891
Saarland,2009,2398470,1025994,2.33770372926157,2337.70372926157,8107.12201700831,23197.191628891
Saarland,2010,2113009,1019968,2.07164244368451,2071.64244368451,10178.7644606928,23197.191628891
Saarland,2011,2136112,999867,2.13639614068671,2136.39614068671,12315.1606013795,23197.191628891
Saarland,2012,2092470,996071,2.10072374358856,2100.72374358856,14415.8843449681,23197.191628891
Saarland,2013,2220376,992503,2.23714789778973,2237.14789778973,16653.0322427578,23197.191628891
Saarland,2014,1926795,989877,1.9464994135635,1946.4994135635,18599.5316563213,23197.191628891
Saarland,2015,1668304,992316,1.68122251379601,1681.22251379601,20280.7541701173,23197.191628891
Saarland,2016,1466268,996124,1.47197336877738,1471.97336877738,21752.7275388947,23197.191628891
Saarland,2017,1437847,995419,1.44446408999627,1444.46408999627,23197.191628891,23197.191628891
Sachsen,2006,4078152,4261622,0.956948316861514,956.948316861514,956.948316861514,11354.4738853347
Sachsen,2007,4472470,4234377,1.0562285786079,1056.2285786079,2013.17689546942,11354.4738853347
Sachsen,2008,4452036,4205316,1.0586685994584,1058.6685994584,3071.84549492782,11354.4738853347
Sachsen,2009,4007713,4178322,0.959168058373672,959.168058373672,4031.01355330149,11354.4738853347
Sachsen,2010,3956370,4155786,0.952014853507856,952.014853507856,4983.02840680935,11354.4738853347
Sachsen,2011,4173905,4060219,1.02799996748944,1027.99996748944,6011.02837429879,11354.4738853347
Sachsen,2012,3660031,4052193,0.903222279886471,903.222279886471,6914.25065418526,11354.4738853347
Sachsen,2013,3490691,4048295,0.862262014008367,862.262014008367,7776.51266819362,11354.4738853347
Sachsen,2014,3659556,4050830,0.903408931009201,903.408931009201,8679.92159920282,11354.4738853347
Sachsen,2015,3502264,4070063,0.860493805624139,860.493805624139,9540.41540482696,11354.4738853347
Sachsen,2016,3647237,4083317,0.893204470777067,893.204470777067,10433.619875604,11354.4738853347
Sachsen,2017,3758508,4081546,0.920854009730627,920.854009730627,11354.4738853347,11354.4738853347
Sachsen-Anhalt,2006,5059581,2455784,2.06027118020152,2060.27118020152,2060.27118020152,30095.1439436516
Sachsen-Anhalt,2007,5724867,2427603,2.35823855877588,2358.23855877588,4418.5097389774,30095.1439436516
Sachsen-Anhalt,2008,4828305,2397422,2.01395707555866,2013.95707555866,6432.46681453606,30095.1439436516
Sachsen-Anhalt,2009,4276987,2367938,1.80620734157736,1806.20734157736,8238.67415611341,30095.1439436516
Sachsen-Anhalt,2010,5187995,2344849,2.21250707401628,2212.50707401628,10451.1812301297,30095.1439436516
Sachsen-Anhalt,2011,5648642,2287061,2.46982568457947,2469.82568457947,12921.0069147092,30095.1439436516
Sachsen-Anhalt,2012,5813213,2268065,2.56307160509068,2563.07160509068,15484.0785197998,30095.1439436516
Sachsen-Anhalt,2013,6065814,2251985,2.69354103157881,2693.54103157881,18177.6195513787,30095.1439436516
Sachsen-Anhalt,2014,6520370,2240063,2.91079759810327,2910.79759810327,21088.4171494819,30095.1439436516
Sachsen-Anhalt,2015,6665774,2240509,2.97511592231944,2975.11592231944,24063.5330718014,30095.1439436516
Sachsen-Anhalt,2016,6759073,2240861,3.01628391943989,3016.28391943989,27079.8169912413,30095.1439436516
Sachsen-Anhalt,2017,6723175,2229667,3.01532695241038,3015.32695241038,30095.1439436516,30095.1439436516
Schleswig-Holstein,2006,2320753,2832593,0.819303373269651,819.303373269651,819.303373269651,13719.1344175446
Schleswig-Holstein,2007,3071410,2835268,1.08328736472178,1083.28736472178,1902.59073799143,13719.1344175446
Schleswig-Holstein,2008,3217467,2835870,1.1345608226047,1134.5608226047,3037.15156059614,13719.1344175446
Schleswig-Holstein,2009,3146246,2831474,1.11116895299056,1111.16895299056,4148.3205135867,13719.1344175446
Schleswig-Holstein,2010,3253679,2832163,1.14883182924147,1148.83182924147,5297.15234282817,13719.1344175446
Schleswig-Holstein,2011,3264915,2801200,1.16554155361988,1165.54155361988,6462.69389644804,13719.1344175446
Schleswig-Holstein,2012,3643751,2804399,1.29929835233859,1299.29835233859,7761.99224878664,13719.1344175446
Schleswig-Holstein,2013,3746014,2811243,1.33251163275462,1332.51163275462,9094.50388154126,13719.1344175446
Schleswig-Holstein,2014,3424362,2823410,1.21284616828587,1212.84616828587,10307.3500498271,13719.1344175446
Schleswig-Holstein,2015,3379066,2844789,1.18780900797915,1187.80900797915,11495.1590578063,13719.1344175446
Schleswig-Holstein,2016,3200768,2870320,1.11512583962764,1115.12583962764,12610.2848974339,13719.1344175446
Schleswig-Holstein,2017,3200000,2885874,1.10884952011072,1108.84952011072,13719.1344175446,13719.1344175446
